type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Barnes,Barnes .366 250gr Banded Solids 30466,30466,0.366,250,0.267,,Banded Solids,0.214,,
rifle,Barnes,Barnes .366 286gr Banded Solids 30467,30467,0.366,286,0.305,,Banded Solids,0.247,,
rifle,Barnes,Barnes .416 350gr Banded Solids 30520,30520,0.416,350,0.289,,Banded Solids,0.217,,
rifle,Barnes,Barnes .416 400gr Banded Solids 30526,30526,0.416,400,0.33,,Banded Solids,0.261,,
rifle,Barnes,Barnes .422 400gr Banded Solids 30536,30536,0.422,400,0.321,,Banded Solids,0.261,,
rifle,Barnes,Barnes .474 500gr Banded Solids 30649,30649,0.474,500,0.318,,Banded Solids,0.243,,
rifle,Barnes,Barnes .504 525gr Banded Solids 30685,30685,0.504,525,0.295,,Banded Solids,0.267,,
rifle,Barnes,Barnes .509 570gr Banded Solids 30690,30690,0.509,570,0.314,,Banded Solids,0.243,,
rifle,Barnes,Barnes .51 535gr Banded Solids 30694,30694,0.51,535,0.294,,Banded Solids,0.238,,
rifle,Barnes,Barnes .583 750gr Banded Solids 30713,30713,0.583,750,0.315,,Banded Solids,0.257,,
rifle,Barnes,Barnes .618 900gr Banded Solids 30714,30714,0.618,900,0.337,,Banded Solids,0.38,,
rifle,Barnes,Barnes .51 750gr Banded Solids 30703,30703,0.51,750,0.412,,Banded Solids,1.07,,
rifle,Barnes,Barnes .51 800gr Banded Solids 30707,30707,0.51,800,0.439,,Banded Solids,1.095,,
pistol,Barnes,Barnes .429 300gr Buster 30545,30545,0.429,300,0.233,,Buster,0.241,,
pistol,Barnes,Barnes .451 325gr Buster 30572,30572,0.451,325,0.228,,Buster,0.206,,
pistol,Barnes,Barnes .458 400gr Buster 30644,30644,0.458,400,0.272,,Buster,0.242,,
pistol,Barnes,Barnes .5 400gr Buster 30672,30672,0.5,400,0.229,,Buster,0.22,,
rifle,Barnes,Barnes .264 127gr LRX Long Range Hunting 30228,30228,0.264,127,0.26,,LRX Long Range Hunting,0.468,,
rifle,Barnes,Barnes .277 129gr LRX Long Range Hunting 30262,30262,0.277,129,0.24,,LRX Long Range Hunting,0.463,,
rifle,Barnes,Barnes .284 139gr LRX Long Range Hunting 30295,30295,0.284,139,0.246,,LRX Long Range Hunting,0.47,,
rifle,Barnes,Barnes .284 145gr LRX Long Range Hunting 30282,30282,0.284,145,0.257,,LRX Long Range Hunting,0.486,,
rifle,Barnes,Barnes .284 168gr LRX Long Range Hunting 30284,30284,0.284,168,0.298,,LRX Long Range Hunting,0.55,,
rifle,Barnes,Barnes .308 175gr LRX Long Range Hunting 30318,30318,0.308,175,0.264,,LRX Long Range Hunting,0.508,,
rifle,Barnes,Barnes .308 200gr LRX Long Range Hunting 30374,30374,0.308,200,0.301,,LRX Long Range Hunting,0.546,,
rifle,Barnes,Barnes .338 250gr LRX Long Range Hunting 31150,31150,0.338,250,0.313,,LRX Long Range Hunting,0.602,,
rifle,Barnes,Barnes .338 265gr LRX Long Range Hunting 30434,30434,0.338,265,0.331,,LRX Long Range Hunting,0.575,,
rifle,Barnes,Barnes .338 280gr LRX Long Range Hunting 30432,30432,0.338,280,0.35,,LRX Long Range Hunting,0.667,,
rifle,Barnes,Barnes .375 270gr LRX Long Range Hunting 30483,30483,0.375,270,0.274,,LRX Long Range Hunting,0.449,,
rifle,Barnes,Barnes .224 52gr Match Burners 30160,30160,0.224,52,0.148,,Match Burners,0.224,,
rifle,Barnes,Barnes .224 69gr Match Burners 30162,30162,0.224,69,0.196,,Match Burners,0.339,,
rifle,Barnes,Barnes .224 85gr Match Burners 30164,30164,0.224,85,0.242,,Match Burners,0.41,,
rifle,Barnes,Barnes .243 68gr Match Burners 30205,30205,0.243,68,0.165,,Match Burners,0.267,,
rifle,Barnes,Barnes .243 105gr Match Burners 30206,30206,0.243,105,0.254,,Match Burners,0.511,,
rifle,Barnes,Barnes .264 140gr Match Burners 30230,30230,0.264,140,0.287,,Match Burners,0.586,,
rifle,Barnes,Barnes .284 171gr Match Burners 30285,30285,0.284,171,0.303,,Match Burners,0.645,,
rifle,Barnes,Barnes .308 155gr Match Burners 30381,30381,0.308,155,0.233,,Match Burners,0.467,,
rifle,Barnes,Barnes .308 175gr Match Burners 30385,30385,0.308,175,0.264,,Match Burners,0.521,,
rifle,Barnes,Barnes .224 55gr MPG LF Frangible 30195,30195,0.224,55,0.157,,MPG LF Frangible,0.225,,
rifle,Barnes,Barnes .277 85gr MPG LF Frangible 30249,30249,0.277,85,0.158,,MPG LF Frangible,0.229,,
rifle,Barnes,Barnes .308 150gr MPG LF Frangible 30331,30331,0.308,150,0.226,,MPG LF Frangible,0.357,,
rifle,Barnes,Barnes .31 108gr MPG LF Frangible 30388,30388,0.31,108,0.161,,MPG LF Frangible,0.243,,
rifle,Barnes,Barnes .348 220gr Originals 30437,30437,0.348,220,0.26,,Originals,0.301,,
rifle,Barnes,Barnes .348 250gr Originals 30438,30438,0.348,250,0.295,,Originals,null,,
rifle,Barnes,Barnes .375 255gr Originals 30496,30496,0.375,255,0.259,,Originals,0.29,,
rifle,Barnes,Barnes .375 255gr Originals 30497,30497,0.375,255,0.259,,Originals,0.29,,
rifle,Barnes,Barnes .377 255gr Originals 30498,30498,0.377,255,0.256,,Originals,0.29,,
rifle,Barnes,Barnes .458 300gr Originals 30611,30611,0.458,300,0.204,,Originals,0.291,,
rifle,Barnes,Barnes .458 300gr Originals 30612,30612,0.458,300,0.204,,Originals,0.227,,
rifle,Barnes,Barnes .458 400gr Originals 30613,30613,0.458,400,0.272,,Originals,0.389,,
rifle,Barnes,Barnes .458 400gr Originals 30614,30614,0.458,400,0.272,,Originals,0.302,,
rifle,Barnes,Barnes .51 300gr Originals 30682,30682,0.51,300,0.165,,Originals,0.183,,
rifle,Barnes,Barnes .51 450gr Originals 30683,30683,0.51,450,0.247,,Originals,0.274,,
rifle,Barnes,Barnes .51 750gr TAC-LR 30702,30702,0.51,750,0.412,,TAC-LR,1.07,,
rifle,Barnes,Barnes .51 750gr TAC-LR 30705,30705,0.51,750,0.412,,TAC-LR,0.766,,
