type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Berger,Berger .172 25gr FB Varmint 17308,17308,0.172,25,0.121,17 Cal 25 gr FB Varmint,FB Varmint,0.152,,
rifle,Berger,Berger .204 35gr FB Varmint 20303,20303,0.204,35,0.12,20 Cal 35 gr FB Varmint,FB Varmint,0.179,,
rifle,Berger,Berger .204 40gr BT Varmint 20304,20304,0.204,40,0.137,20 Cal 40 gr BT Varmint,BT Varmint,0.227,0.116,
rifle,Berger,Berger .204 55gr Long Range BT Varmint 20306,20306,0.204,55,0.189,20 Cal 55 gr Long Range BT Varmint,Long Range BT Varmint,0.354,0.182,
rifle,Berger,Berger .224 40gr FB Varmint 22303,22303,0.224,40,0.114,22 Cal 40 gr FB Varmint,FB Varmint,0.151,,
rifle,Berger,Berger .224 52gr FB Varmint 22309,22309,0.224,52,0.148,22 Cal 52 gr FB Varmint,FB Varmint,0.201,,
rifle,Berger,Berger .224 52gr FB Target 22408,22408,0.224,52,0.148,22 Cal 52 gr FB Target,FB Target,0.235,,
rifle,Berger,Berger .224 55gr FB Varmint 22311,22311,0.224,55,0.157,22 Cal 55 gr FB Varmint,FB Varmint,0.209,,
rifle,Berger,Berger .224 55gr FB Target 22410,22410,0.224,55,0.157,22 Cal 55 gr FB Target,FB Target,0.254,,
rifle,Berger,Berger .224 60gr FB Varmint 22312,22312,0.224,60,0.171,22 Cal 60 gr FB Varmint,FB Varmint,0.271,,
rifle,Berger,Berger .224 64gr FB Varmint 22316,22316,0.224,64,0.182,22 Cal 64 gr FB Varmint,FB Varmint,0.287,,
rifle,Berger,Berger .224 70gr VLD Target 22418,22418,0.224,70,0.199,22 Cal 70 gr VLD Target,VLD Target,0.374,0.191,
rifle,Berger,Berger .224 73gr BT Target 22420,22420,0.224,73,0.208,22 Cal 73 gr BT Target,BT Target,0.348,0.178,
rifle,Berger,Berger .224 75gr VLD Target 22421,22421,0.224,75,0.214,22 Cal 75 gr VLD Target,VLD Target,0.421,0.216,
rifle,Berger,Berger .224 77gr OTM Tactical 22101,22101,0.224,77,0.219,22 Cal 77 gr OTM Tactical,OTM Tactical,0.374,0.192,
rifle,Berger,Berger .224 80gr VLD Target 22422,22422,0.224,80,0.228,22 Cal 80 gr VLD Target,VLD Target,0.455,0.233,
rifle,Berger,Berger .224 80.5gr FULLBORE Target 22427,22427,0.224,80.5,0.229,22 Cal 80.5 gr FULLBORE Target,FULLBORE Target,0.441,0.226,
rifle,Berger,Berger .224 82gr Long Range BT Target 22424,22424,0.224,82,0.233,22 Cal 82 gr Long Range BT Target,Long Range BT Target,0.44,0.225,
rifle,Berger,Berger .224 90gr VLD Target 22423,22423,0.224,90,0.256,22 Cal 90 gr VLD Target,VLD Target,0.534,0.274,
rifle,Berger,Berger .243 62gr Euwin BR Target 24404,24404,0.243,62,0.15,6mm 62 gr Euwin BR Target,Euwin BR Target,0.226,,
rifle,Berger,Berger .243 BR Column Target 24407,24407,0.243,,0.155,6mm BR Column Target,BR Column Target,0.231,,
rifle,Berger,Berger .243 65gr BT Target 24408,24408,0.243,65,0.157,6mm 65 gr BT Target,BT Target,0.281,0.144,
rifle,Berger,Berger .243 65gr Web BR Target 24409,24409,0.243,65,0.157,6mm 65 gr Web BR Target,Web BR Target,0.246,,
rifle,Berger,Berger .243 68gr FB Target 24411,24411,0.243,68,0.165,6mm 68 gr FB Target,FB Target,0.255,,
rifle,Berger,Berger .243 69gr High BC FB Varmint 24313,24313,0.243,69,0.167,6mm 69 gr High BC FB Varmint,High BC FB Varmint,0.289,,
rifle,Berger,Berger .243 80gr FB Varmint 24321,24321,0.243,80,0.194,6mm 80 gr FB Varmint,FB Varmint,0.3,,
rifle,Berger,Berger .243 87gr VLD Hunting 24524,24524,0.243,87,0.21,6mm 87 gr VLD Hunting,VLD Hunting,0.427,0.219,
rifle,Berger,Berger .243 88gr High BC FB Varmint 24323,24323,0.243,88,0.213,6mm 88 gr High BC FB Varmint,High BC FB Varmint,0.38,,
rifle,Berger,Berger .243 90gr BT Target 24425,24425,0.243,90,0.218,6mm 90 gr BT Target,BT Target,0.409,0.21,
rifle,Berger,Berger .243 95gr VLD Target 24427,24427,0.243,95,0.23,6mm 95 gr VLD Target,VLD Target,0.467,0.24,
rifle,Berger,Berger .243 95gr VLD Hunting 24527,24527,0.243,95,0.23,6mm 95 gr VLD Hunting,VLD Hunting,0.467,0.239,
rifle,Berger,Berger .243 95gr Classic Hunter 24570,24570,0.243,95,0.23,6mm 95 gr Classic Hunter,Classic Hunter,0.434,0.223,
rifle,Berger,Berger .243 105gr BT Target 24428,24428,0.243,105,0.254,6mm 105 gr BT Target,BT Target,0.494,0.253,
rifle,Berger,Berger .243 105gr VLD Target 24429,24429,0.243,105,0.254,6mm 105 gr VLD Target,VLD Target,0.517,0.265,
rifle,Berger,Berger .243 105gr Hybrid Target 24433,24433,0.243,105,0.254,6mm 105 gr Hybrid Target,Hybrid Target,0.536,0.275,
rifle,Berger,Berger .243 105gr VLD Hunting 24528,24528,0.243,105,0.254,6mm 105 gr VLD Hunting,VLD Hunting,0.545,0.278,
rifle,Berger,Berger .243 108gr BT Target 24431,24431,0.243,108,0.261,6mm 108 gr BT Target,BT Target,0.522,0.268,
rifle,Berger,Berger .243 115gr VLD Target 24430,24430,0.243,115,0.278,6mm 115 gr VLD Target,VLD Target,0.563,0.289,
rifle,Berger,Berger .243 115gr VLD Hunting 24530,24530,0.243,115,0.278,6mm 115 gr VLD Hunting,VLD Hunting,0.568,0.291,
rifle,Berger,Berger .257 115gr VLD Hunting 25513,25513,0.257,115,0.249,25 Cal 115 gr VLD Hunting,VLD Hunting,0.483,0.247,
rifle,Berger,Berger .264 120gr BT Target 26402,26402,0.264,120,0.246,6.5mm 120 gr BT Target,BT Target,0.468,0.24,
rifle,Berger,Berger .264 130gr AR Hybrid OTM Tactical 26195,26195,0.264,130,0.266,6.5mm 130 gr AR Hybrid OTM Tactical,AR Hybrid OTM Tactical,0.56,0.287,
rifle,Berger,Berger .264 130gr VLD Target 26403,26403,0.264,130,0.266,6.5mm 130 gr VLD Target,VLD Target,0.562,0.288,
rifle,Berger,Berger .264 130gr VLD Hunting 26503,26503,0.264,130,0.266,6.5mm 130 gr VLD Hunting,VLD Hunting,0.562,0.288,
rifle,Berger,Berger .264 135gr Classic Hunter 26571,26571,0.264,135,0.277,6.5mm 135 gr Classic Hunter,Classic Hunter,0.584,0.303,
