type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
pistol,Hornady,Hornady .308 86gr Traditional 3100,3100,0.308,86,0.13,30 Mauser .308 86 gr RN,Traditional,0.105,,
pistol,Hornady,Hornady .309 90gr XTP® 31000,31000,0.309,90,0.136,30 Cal .309 90 gr HP XTP®,XTP®,0.115,,
pistol,Hornady,Hornady .312 60gr XTP® 32010,32010,0.312,60,0.088,32 Cal .312 60 gr HP XTP®,XTP®,0.09,,
pistol,Hornady,Hornady .312 85gr XTP® 32050,32050,0.312,85,0.125,32 Cal .312 85 gr HP XTP®,XTP®,0.145,,
pistol,Hornady,Hornady .312 100gr XTP® 32070,32070,0.312,100,0.147,32 Cal .312 100 gr HP XTP®,XTP®,0.17,,
pistol,Hornady,Hornady .355 90gr XTP® 35500,35500,0.355,90,0.102,9mm .355 90 gr HP XTP®,XTP®,0.099,,
pistol,Hornady,Hornady .355 100gr FMJ 35527B,35527B,0.355,100,0.141,9mm .355 100 gr FMJ Bulk Box of 3,500,FMJ,0.158,,
pistol,Hornady,Hornady .355 115gr HAP® 35528B,35528B,0.355,115,0.13,9mm .355 115 gr HAP® Bulk Box of 3000,HAP®,0.129,,
pistol,Hornady,Hornady .355 115gr XTP® 35540,35540,0.355,115,0.13,9mm .355 115 gr HP XTP®,XTP®,0.129,,
pistol,Hornady,Hornady .355 115gr FMJ 35557B,35557B,0.355,115,0.13,9mm .355 115 gr FMJ RN Bulk box of 3,000,FMJ,0.14,,
pistol,Hornady,Hornady .355 115gr FMJ 35557,35557,0.355,115,0.13,9mm .355 115 gr FMJ RN,FMJ,0.14,,
pistol,Hornady,Hornady .355 115gr HAP® 355281,355281,0.355,115,0.13,9mm .355 115 gr HAP® Bulk Box of 500,HAP®,0.129,,
pistol,Hornady,Hornady .355 115gr FMJ 355571,355571,0.355,115,0.13,9mm .355 115 gr FMJ-RN,FMJ,0.14,,
pistol,Hornady,Hornady .355 124gr XTP® 35571,35571,0.355,124,0.141,9mm .355 124 gr HP XTP®,XTP®,0.165,,
pistol,Hornady,Hornady .355 124gr FMJ 35577B,35577B,0.355,124,0.141,9mm .355 124 gr FMJ RN Bulk box of 2,900,FMJ,0.145,,
pistol,Hornady,Hornady .355 124gr FMJ 355771,355771,0.355,124,0.141,9mm .355 124 gr FMJ RN Box of 500,FMJ,0.145,,
pistol,Hornady,Hornady .355 147gr XTP® 35580,35580,0.355,147,0.167,9mm .355 147 gr HP XTP®,XTP®,0.212,,
pistol,Hornady,Hornady .355 147gr FMJ 35597B,35597B,0.355,147,0.167,9mm .355 147 gr FMJ RN Bulk box of 2,500,FMJ,0.212,,
pistol,Hornady,Hornady .356 125gr HAP® 35572B,35572B,0.356,125,0.141,9mm .356 125 gr HAP® Bulk Box of 3000,HAP®,0.158,,
pistol,Hornady,Hornady .356 125gr HAP® 355721,355721,0.356,125,0.141,9mm .356 125 gr HAP® Box of 500,HAP®,0.158,,
pistol,Hornady,Hornady .357 110gr XTP® 35700,35700,0.357,110,0.123,38 Cal .357 110 gr HP XTP®,XTP®,0.131,,
pistol,Hornady,Hornady .357 125gr XTP® 35710,35710,0.357,125,0.14,38 Cal .357 125 gr HP XTP®,XTP®,0.151,,
pistol,Hornady,Hornady .357 125gr XTP® 35730,35730,0.357,125,0.14,38 Cal .357 125 gr FP XTP®,XTP®,0.148,,
pistol,Hornady,Hornady .357 140gr XTP® 35740,35740,0.357,140,0.157,38 Cal .357 140 gr HP XTP®,XTP®,0.169,,
pistol,Hornady,Hornady .357 140gr FTX® 35745,35745,0.357,140,0.157,38 Cal .357 140 gr FTX® (357 Mag),FTX®,0.16,,
pistol,Hornady,Hornady .357 158gr XTP® 35750,35750,0.357,158,0.177,38 Cal .357 158 gr HP XTP®,XTP®,0.206,,
pistol,Hornady,Hornady .357 158gr XTP® 35780,35780,0.357,158,0.177,38 Cal .357 158 gr FP XTP®,XTP®,0.199,,
pistol,Hornady,Hornady .357 180gr XTP® 35771,35771,0.357,180,0.202,38 Cal .357 180 gr HP XTP®,XTP®,0.23,,
pistol,Hornady,Hornady .358 140gr Frontier® Lead 10078,10078,0.358,140,0.157,38 Cal .358 140 gr Cowboy™,Frontier® Lead,0.127,,
pistol,Hornady,Hornady .358 148gr Frontier® Lead 10208,10208,0.358,148,0.165,38 Cal .358 148 gr HBWC,Frontier® Lead,0.047,,
pistol,Hornady,Hornady .358 158gr Frontier® Lead 10408,10408,0.358,158,0.176,38 Cal .358 158 gr SWC,Frontier® Lead,0.135,,
pistol,Hornady,Hornady .358 158gr Frontier® Lead 10428,10428,0.358,158,0.176,38 Cal .358 158 gr SWC HP,Frontier® Lead,0.139,,
pistol,Hornady,Hornady .358 158gr Frontier® Lead 10508,10508,0.358,158,0.176,38 Cal .358 158 gr LRN,Frontier® Lead,0.159,,
pistol,Hornady,Hornady .365 95gr XTP® 36500,36500,0.365,95,0.102,9 x 18 Makarov .365 95 gr HP XTP®,XTP®,0.127,,
pistol,Hornady,Hornady .400 155gr XTP® 40000,40000,0.4,155,0.138,10mm .400 155 gr HP XTP®,XTP®,0.137,,
pistol,Hornady,Hornady .400 180gr XTP® 40040,40040,0.4,180,0.161,10mm .400 180 gr HP XTP®,XTP®,0.164,,
pistol,Hornady,Hornady .400 180gr HAP® 40042B,40042B,0.4,180,0.161,10mm .400 180 gr HAP® Bulk Box of 1,900,HAP®,0.164,,
pistol,Hornady,Hornady .400 180gr FMJ 40047,40047,0.4,180,0.161,10mm .400 180 gr FMJ-FP,FMJ,0.188,,
pistol,Hornady,Hornady .400 180gr HAP® 400421,400421,0.4,180,0.161,10mm .400 180 gr HAP® Box of 500,HAP®,0.164,,
pistol,Hornady,Hornady .400 200gr XTP® 40060,40060,0.4,200,0.179,10mm .400 200 gr HP XTP®,XTP®,0.199,,
pistol,Hornady,Hornady .400 200gr HAP® 40061B,40061B,0.4,200,0.179,10mm .400 200 gr HAP® Bulk Box of 1,800,HAP®,0.199,,
pistol,Hornady,Hornady .410 190gr FTX® 41010,41010,0.41,190,0.161,41 Cal .410 190 gr FTX®,FTX®,0.165,,
pistol,Hornady,Hornady .410 210gr XTP® 41000,41000,0.41,210,0.178,41 Cal .410 210 gr HP XTP®,XTP®,0.182,,
pistol,Hornady,Hornady .430 180gr Frontier® Lead 11058,11058,0.43,180,0.139,44 Cal .430 180 gr Cowboy™,Frontier® Lead,0.114,,
pistol,Hornady,Hornady .430 180gr XTP® 44050,44050,0.43,180,0.139,44 Cal .430 180 gr HP XTP®,XTP®,0.138,,
pistol,Hornady,Hornady .430 200gr XTP® 44100,44100,0.43,200,0.155,44 Cal .430 200 gr HP XTP®,XTP®,0.17,,
pistol,Hornady,Hornady .430 225gr FTX® 44105,44105,0.43,225,0.174,44 Cal .430 225 gr FTX® (44 Mag),FTX®,0.15,,
pistol,Hornady,Hornady .430 240gr Frontier® Lead 11108,11108,0.43,240,0.185,44 Cal .430 240 gr SWC,Frontier® Lead,0.182,,
pistol,Hornady,Hornady .430 240gr Frontier® Lead 11118,11118,0.43,240,0.185,44 Cal .430 240 gr SWC HP,Frontier® Lead,0.204,,
pistol,Hornady,Hornady .430 240gr XTP® 44200,44200,0.43,240,0.185,44 Cal .430 240 gr HP XTP®,XTP®,0.205,,
pistol,Hornady,Hornady .430 300gr XTP® 44280,44280,0.43,300,0.232,44 Cal .430 300 gr HP XTP®,XTP®,0.245,,
pistol,Hornady,Hornady .451 185gr XTP® 45100,45100,0.451,185,0.13,45 Cal .451 185 gr HP XTP®,XTP®,0.139,,
pistol,Hornady,Hornady .451 185gr HAP® 45105B,45105B,0.451,185,0.13,45 Cal .451 185 gr HAP Bulk box of 1,900,HAP®,0.139,,
pistol,Hornady,Hornady .451 200gr XTP® 45140,45140,0.451,200,0.14,45 Cal .451 200 gr HP XTP®,XTP®,0.151,,
