type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Lapua,Lapua .224 55gr Soft Point 4PL5006,4 PL 5006,0.224,55,0.157,,Soft Point,0.185,,
rifle,Lapua,Lapua .224 50gr Naturalis NPL5001,N PL 5001,0.224,50,0.142,,Naturalis,,,
rifle,Lapua,Lapua .243 90gr Naturalis NPL6201,N PL 6201,0.243,90,0.218,,Naturalis,0.23,,
rifle,Lapua,Lapua .264 140gr Naturalis NPL6203,N PL 6203,0.264,140,0.287,,Naturalis,0.201,,
rifle,Lapua,Lapua .284 156gr Naturalis NPL7027,N PL 7027,0.284,156,0.276,,Naturalis,0.28,,
rifle,Lapua,Lapua .308 170gr Naturalis NPL7105,N PL 7105,0.308,170,0.256,,Naturalis,0.354,0.177,
rifle,Lapua,Lapua .323 180gr Naturalis NPL8009,N PL 8009,0.323,180,0.246,,Naturalis,0.357,0.179,
rifle,Lapua,Lapua .338 231gr Naturalis NPL8020,N PL 8020,0.338,231,0.289,,Naturalis,0.373,,
rifle,Lapua,Lapua .366 250gr Naturalis NPL9204,N PL 9204,0.366,250,0.267,,Naturalis,0.419,0.215,
rifle,Lapua,Lapua .243 77gr Open Tip 4PL/HL6046,4 PL/HL 6046,0.243,77,0.186,,Open Tip,0.319,,
rifle,Lapua,Lapua .224 55gr FMJ 4PL/HL5005,4 PL/HL 5005,0.224,55,0.157,,FMJ,0.235,,
rifle,Lapua,Lapua .264 100gr FMJ 4PL/HL6014,4 PL/HL 6014,0.264,100,0.205,,FMJ,0.25,,
rifle,Lapua,Lapua .264 144gr FMJ 4PL/HL6000,4 PL/HL 6000,0.264,144,0.295,,FMJ,0.636,,
rifle,Lapua,Lapua .308 123gr FMJ 4PL/HL7003,4 PL/HL 7003,0.308,123,0.185,,FMJ,0.27,,
rifle,Lapua,Lapua .311 123gr FMJ 4PL/HL7045,4 PL/HL 7045,0.311,123,0.182,,FMJ,0.257,,
rifle,Lapua,Lapua .224 69gr Scenar 4PL/HL5011,4 PL/HL5011,0.224,69,0.196,,Scenar,0.341,0.171,
rifle,Lapua,Lapua .224 77gr Scenar 4PL/HL5012,4 PL/HL 5012,0.224,77,0.219,,Scenar,0.386,0.193,
rifle,Lapua,Lapua .243 90gr Scenar 4PL/HL6047,4 PL/HL 6047,0.243,90,0.218,,Scenar,0.434,0.216,
rifle,Lapua,Lapua .243 105gr Scenar 4PL/HL6045,4 PL/HL 6045,0.243,105,0.254,,Scenar,0.472,0.236,
rifle,Lapua,Lapua .264 100gr Scenar 4PL/HL6033,4 PL/HL 6033,0.264,100,0.205,,Scenar,0.424,0.212,
rifle,Lapua,Lapua .264 108gr Scenar 4PL/HL6020,4 PL/HL 6020,0.264,108,0.221,,Scenar,0.465,0.231,
rifle,Lapua,Lapua .264 123gr Scenar 4PL/HL6032,4 PL/HL 6032,0.264,123,0.252,,Scenar,0.527,0.263,
rifle,Lapua,Lapua .264 139gr Scenar 4PL/HL6018,4 PL/HL 6018,0.264,139,0.285,,Scenar,0.578,0.29,
rifle,Lapua,Lapua .308 155gr Scenar 4PL/HL7073,4 PL/HL 7073,0.308,155,0.233,,Scenar,0.46,0.23,
rifle,Lapua,Lapua .308 167gr Scenar 4PL/HL7069,4 PL/HL 7069,0.308,167,0.251,,Scenar,0.446,0.223,
rifle,Lapua,Lapua .308 185gr Scenar 4PL/HL7071,4 PL/HL 7071,0.308,185,0.279,,Scenar,0.482,0.242,
rifle,Lapua,Lapua .338 250gr Scenar 4PL8017,4 PL 8017,0.338,250,0.313,,Scenar,0.648,0.322,
rifle,Lapua,Lapua .338 300gr Scenar 4PL8013,4 PL 8013,0.338,300,0.375,,Scenar,0.736,0.368,
rifle,Lapua,Lapua .224 69gr ScenarL 4PL/HL5015,4 PL/HL 5015,0.224,69,0.196,,ScenarL,0.341,0.171,
rifle,Lapua,Lapua .224 77gr ScenarL 4PL/HL5016,4 PL/HL 5016,0.224,77,0.219,,ScenarL,0.386,0.193,
rifle,Lapua,Lapua .243 90gr ScenarL 4PL/HL6055,4 PL/HL 6055,0.243,90,0.218,,ScenarL,0.434,0.216,
rifle,Lapua,Lapua .243 105gr ScenarL 4PL/HL6050,4 PL/HL 6050,0.243,105,0.254,,ScenarL,0.472,0.236,
rifle,Lapua,Lapua .264 120gr ScenarL 4HL/PL6021,4HL/PL6021,0.264,120,0.246,,ScenarL,0.497,0.246,
rifle,Lapua,Lapua .264 136gr ScenarL 4HL/PL6019,4HL/PL6019,0.264,136,0.279,,ScenarL,0.545,0.274,
rifle,Lapua,Lapua .284 150gr ScenarL 4PL/HL7400,4 PL/HL 7400,0.284,150,0.266,,ScenarL,0.526,0.26,
rifle,Lapua,Lapua .284 180gr ScenarL 4PL/HL7401,4 PL/HL 7401,0.284,180,0.319,,ScenarL,0.661,0.332,
rifle,Lapua,Lapua .308 155gr ScenarL 4HL/PL7063,4HL/PL7063,0.308,155,0.233,,ScenarL,0.46,0.23,
rifle,Lapua,Lapua .308 175gr ScenarL 4HL/PL7061,4HL/PL7061,0.308,175,0.264,,ScenarL,0.49,0.247,
rifle,Lapua,Lapua .308 220gr ScenarL 4HL/PL7062,4HL/PL7062,0.308,220,0.331,,ScenarL,0.647,0.324,
rifle,Lapua,Lapua .264 155gr Mega 4PL6010,4 PL 6010,0.264,155,0.318,,Mega,0.377,,
rifle,Lapua,Lapua .308 150gr Mega 4PL7057,4 PL 7057,0.308,150,0.226,,Mega,0.33,,
rifle,Lapua,Lapua .308 185gr Mega 4PL7213,4 PL 7213,0.308,185,0.279,,Mega,0.319,,
rifle,Lapua,Lapua .308 200gr Mega 4PL7047,4 PL 7047,0.308,200,0.301,,Mega,0.344,,
rifle,Lapua,Lapua .366 285gr Mega 4PL9017,4 PL 9017,0.366,285,0.304,,Mega,0.339,,
rifle,Lapua,Lapua .264 100gr Cutting Edge FMJ 4PL/HL6015,4 PL/HL 6015,0.264,100,0.205,,Cutting Edge FMJ,0.25,,
rifle,Lapua,Lapua .308 100gr Cutting Edge OT 4PL/HL7224,4 PL/HL 7224,0.308,100,0.151,,Cutting Edge OT,0.17,,
rifle,Lapua,Lapua .308 150gr Lock Base 4PL/HL7091,4 PL/HL 7091,0.308,150,0.226,,Lock Base,0.434,0.217,
rifle,Lapua,Lapua .308 170gr Lock Base 4PL/HL7086,4 PL/HL 7086,0.308,170,0.256,,Lock Base,0.498,0.249,
rifle,Lapua,Lapua .338 250gr Lock Base 4PL/HL8012,4 PL/HL 8012,0.338,250,0.313,,Lock Base,0.625,0.31,
rifle,Lapua,Lapua .308 185gr D46 4PL/HL7019,4 PL/HL 7019,0.308,185,0.279,,D46,0.506,0.254,
rifle,Lapua,Lapua .308 200gr Subsonic 4PL7060,4 PL 7060,0.308,200,0.301,,Subsonic,0.518,0.235,
rifle,Lapua,Lapua .31 200gr D166 4PL/HL7005,4 PL/HL 7005,0.31,200,0.297,,D166,0.448,0.224,
rifle,Lapua,Lapua .5 750gr Bullex-N 4PL1271,4 PL 1271,0.5,750,0.429,,Bullex-N,0.96,,
rifle,Lapua,Lapua .5 800gr Bullex-N 4PL1272,4 PL 1272,0.5,800,0.457,,Bullex-N,0.98,,
pistol,Lapua,Lapua .355 123gr FMJ 4PL/HL9016,4 PL/HL 9016,0.355,123,0.139,,FMJ,0.125,,
pistol,Lapua,Lapua .314 83gr Wadcutter 4HL8023,4 HL 8023,0.314,83,0.12,,Wadcutter,0.029,,
pistol,Lapua,Lapua .314 98gr Wadcutter 4HL8021,4 HL 8021,0.314,98,0.142,,Wadcutter,0.041,,
