"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"pistol","Sierra","Sierra .308 85gr Sports Master 8005","8005","0.308","85","0.128",".30 Caliber (.308) 85 gr. RN","Sports Master","","","{"".102"": [2400, null], "".106"": [1500, 2400] , "".113"": [0, 1500]}"
"pistol","Sierra","Sierra .312 90gr Sports Master 8030","8030","0.312","90","0.132",".32 Caliber (.312) 90 gr. JHC","Sports Master","","","{"".125"": [1100, null], "".146"": [975, 1100] , "".112"": [775, 975] , "".083"": [0, 775]}"
"pistol","Sierra","Sierra .355 90gr Sports Master 8100","8100","0.355","90","0.102","9 mm (.355) 90 gr. JHP","Sports Master","","","{"".095"": [1300, null], "".115"": [900, 1300] , "".105"": [0, 900]}"
"pistol","Sierra","Sierra .355 90gr V-Crown 9990","9990","0.355","90","0.102","9 mm (.355) 90 gr. JHP V-Crown","V-Crown","","","{"".094"": [1200, null], "".109"": [850, 1200] , "".106"": [0, 850]}"
"pistol","Sierra","Sierra .355 95gr Tournament Master 8105","8105","0.355","95","0.108","9 mm (.355) 95 gr. FMJ","Tournament Master","","","{"".0935"": [1200, null], "".1075"": [1000, 1200] , "".116"": [800, 1000] , "".110"": [0, 800]}"
"pistol","Sierra","Sierra .355 115gr Sports Master 8110","8110","0.355","115","0.13","9 mm (.355) 115 gr. JHP","Sports Master","","","{"".107"": [1200, null], "".160"": [1000, 1200] , "".124"": [800, 1000] , "".140"": [0, 800]}"
"pistol","Sierra","Sierra .355 115gr Tournament Master 8115","8115","0.355","115","0.13","9 mm (.355) 115 gr. FMJ","Tournament Master","","","{"".127"": [1300, null], "".155"": [900, 1300] , "".130"": [0, 900]}"
"pistol","Sierra","Sierra .355 124gr V-Crown 9924","9924","0.355","124","0.141","9 mm (.355) 124 gr. JHP V-Crown","V-Crown","","","{"".120"": [1250, null], "".160"": [1000, 1250] , "".170"": [0, 1000]}"
"pistol","Sierra","Sierra .355 125gr Tournament Master 8120","8120","0.355","125","0.142","9 mm (.355) 125 gr. FMJ","Tournament Master","","","{"".115"": [1200, null], "".160"": [1000, 1200] , "".180"": [800, 1000] , "".180"": [0, 800]}"
"pistol","Sierra","Sierra .355 125gr Sports Master 8125","8125","0.355","125","0.142","9 mm (.355) 125 gr. JHP","Sports Master","","","{"".124"": [1200, null], "".137"": [1199, 900] , "".168"": [0, 900]}"
