type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Speer,Speer .204 39gr TNT® 1015,1015,0.204,39,0.134,TNT® Bullets .204,TNT®,0.202,,
rifle,Speer,Speer .224 30gr TNT Green® 1021,1021,0.224,30,0.085,TNT Green® Bullets .224,TNT Green®,0.091,,
rifle,Speer,Speer .224 33gr Jacketed Hollow Point Rifle 1014,1014,0.224,33,0.094,Jacketed Hollow Point Rifle Bullet .224,Jacketed Hollow Point Rifle,0.079,,
rifle,Speer,Speer .224 40gr Varmint Soft Point 1017,1017,0.224,40,0.114,Varmint Soft Point Bullets .224,Varmint Soft Point,0.144,,
rifle,Speer,Speer .224 43gr TNT Green® 1022,1022,0.224,43,0.122,TNT Green® Bullets .224,TNT Green®,0.15,,
rifle,Speer,Speer .224 45gr Varmint Soft Point 1023,1023,0.224,45,0.128,Varmint Soft Point Bullets .224,Varmint Soft Point,0.167,,
rifle,Speer,Speer .224 46gr Varmint Soft Point 1024,1024,0.224,46,0.131,Varmint Soft Point Bullets .224,Varmint Soft Point,0.094,,
rifle,Speer,Speer .224 50gr TNT® 1030,1030,0.224,50,0.142,TNT® Bullets .224,TNT®,0.228,,
rifle,Speer,Speer .224 50gr Varmint Soft Point 1029,1029,0.224,50,0.142,Varmint Soft Point Bullets .224,Varmint Soft Point,0.231,,
rifle,Speer,Speer .224 50gr TNT® 4705,4705,0.224,50,0.142,TNT® Bullets .224,TNT®,0.228,,
rifle,Speer,Speer .224 52gr Varminter Hollow Point 1035,1035,0.224,52,0.148,Varminter Hollow Point Bullets .224,Varminter Hollow Point,0.168,,
rifle,Speer,Speer .224 52gr Varminter Hollow Point 4708,4708,0.224,52,0.148,Varminter Hollow Point Bullets .224,Varminter Hollow Point,0.168,,
rifle,Speer,Speer .224 52gr Target Match Rifle 1036,1036,0.224,52,0.148,Target Match Rifle Bullets .224,Target Match Rifle,0.253,,
rifle,Speer,Speer .224 55gr TNT® 1032,1032,0.224,55,0.157,TNT® Bullets .224,TNT®,,,
rifle,Speer,Speer .224 55gr Varmint Soft Point 1047,1047,0.224,55,0.157,Varmint Soft Point Bullets .224,Varmint Soft Point,0.212,,
rifle,Speer,Speer .224 55gr Varmint Soft Point 4711,4711,0.224,55,0.157,Varmint Soft Point Bullets .224,Varmint Soft Point,0.212,,
rifle,Speer,Speer .224 70gr Varmint Soft Point 1053,1053,0.224,70,0.199,Varmint Soft Point Bullets .224,Varmint Soft Point,0.214,,
rifle,Speer,Speer .243 70gr TNT® 1206,1206,0.243,70,0.169,TNT® Bullets .243,TNT®,0.282,,
rifle,Speer,Speer .243 70gr TNT® 4720,4720,0.243,70,0.169,TNT® Bullets .243,TNT®,0.282,,
rifle,Speer,Speer .243 75gr Varminter Hollow Point 1205,1205,0.243,75,0.181,Varminter Hollow Point Bullets .243,Varminter Hollow Point,0.234,,
rifle,Speer,Speer .243 85gr Boat-Tail Rifle 1213,1213,0.243,85,0.206,Boat-Tail Rifle Bullets .243,Boat-Tail Rifle,0.38,,
rifle,Speer,Speer .243 90gr Hot-Cor® Rifle 1217,1217,0.243,90,0.218,Hot-Cor® Rifle Bullets .243,Hot-Cor® Rifle,0.365,,
rifle,Speer,Speer .243 100gr Grand Slam® Rifle 1222,1222,0.243,100,0.242,Grand Slam® Rifle Bullets .243,Grand Slam® Rifle,0.351,,
rifle,Speer,Speer .243 100gr Boat-Tail Rifle 1220,1220,0.243,100,0.242,Boat-Tail Rifle Bullets .243,Boat-Tail Rifle,0.446,,
rifle,Speer,Speer .257 87gr TNT® 1246,1246,0.257,87,0.188,TNT® Bullets .257,TNT®,0.31,,
rifle,Speer,Speer .257 87gr TNT® 4722,4722,0.257,87,0.188,TNT® Bullets .257,TNT®,0.31,,
rifle,Speer,Speer .257 87gr Hot-Cor® Rifle 1241,1241,0.257,87,0.188,Hot-Cor® Rifle Bullets .257,Hot-Cor® Rifle,0.3,,
rifle,Speer,Speer .257 100gr Varminter Hollow Point 1407,1407,0.257,100,0.216,Varminter Hollow Point Bullets .257,Varminter Hollow Point,0.255,,
rifle,Speer,Speer .257 100gr Hot-Cor® Rifle 1405,1405,0.257,100,0.216,Hot-Cor® Rifle Bullets .257,Hot-Cor® Rifle,0.369,,
rifle,Speer,Speer .257 100gr Boat-Tail Rifle 1408,1408,0.257,100,0.216,Boat-Tail Rifle Bullets .257,Boat-Tail Rifle,0.393,,
rifle,Speer,Speer .257 120gr Grand Slam® Rifle 1415,1415,0.257,120,0.26,Grand Slam® Rifle Bullets .257,Grand Slam® Rifle,0.328,,
rifle,Speer,Speer .257 120gr Boat-Tail Rifle 1410,1410,0.257,120,0.26,Boat-Tail Rifle Bullets .257,Boat-Tail Rifle,0.48,,
rifle,Speer,Speer .264 90gr TNT® 1445,1445,0.264,90,0.184,TNT® Bullets .264,TNT®,0.281,,
rifle,Speer,Speer .264 120gr Hot-Cor® Rifle 1435,1435,0.264,120,0.246,Hot-Cor® Rifle Bullets .264,Hot-Cor® Rifle,0.433,,
rifle,Speer,Speer .264 140gr Hot-Cor® Rifle 1441,1441,0.264,140,0.287,Hot-Cor® Rifle Bullets .264,Hot-Cor® Rifle,0.405,,
rifle,Speer,Speer .277 90gr TNT® 1446,1446,0.277,90,0.168,TNT® Bullets .277,TNT®,0.275,,
rifle,Speer,Speer .277 90gr TNT® 4723,4723,0.277,90,0.168,TNT® Bullets .277,TNT®,0.275,,
rifle,Speer,Speer .277 100gr Varminter Hollow Point 1447,1447,0.277,100,0.186,Varminter Hollow Point Bullets .277,Varminter Hollow Point,0.225,,
rifle,Speer,Speer .277 130gr Grand Slam® Rifle 1465,1465,0.277,130,0.242,Grand Slam® Rifle Bullets .277,Grand Slam® Rifle,0.345,,
